Bhojpuri Morisien,Kreol Morisien,English
aaj ham padhai mein bahute ruchi let bani,mo vreman interese dan etidie,i am very interested in studying today
ham ii vishay mein dilchaspi let bani,mo interese dan sa size la,i am interested in this topic
ham dhyan se sab sunat bani,mo pe ekout avek latansion,i am listening with interest
ham santusht mahsus karat bani,mo satisfe,i feel satisfied
aaj ke kaam se ham santusht bani,mo satisfe ar travay zordi,i am satisfied with todays work
hamke natija dekh ke santosh bhail ba,mo satisfe ar rezilta,i feel satisfied with the result
ham bhitar se santushti mahsus karat bani,mo santi mwa satisfe,i feel satisfied inside
ham nirash mahsus karat bani,mo desevwar,i feel disappointed
aaj ke baat se ham bahute nirash bani,mo vreman desevwar,i am very disappointed by what happened today
hamke umed par paani phir gail jaisan lagat ba,mo santi mo lespwar finn kase,i feel like my hopes were crushed
ham dheere dheere apna ummeed kho rahal bani,mo pe perdi mo lespwar tipti tipti,i am slowly losing my hope
hamke sir mein halka dard mahsus hot ba,mo santi enn ti duler latet,i feel a slight headache
aaj bhore se hamra sir dukhail ba,depi gramaten mo ena duler latet,i have had a headache since morning
roshni dekh ke sir auri bhaari lagat ba,lalimi fer mo latet vinn pli lou,the light makes my head feel heavier
hamke lage ba ki aaram na kaini ta sir dard badh jai,mo santi si mo pa repoze duler latet pou ogmante,i feel if i dont rest the headache will get worse
ham kamar mein halka dard mahsus karat bani,mo santi enn ti duler ledo,i feel a slight back pain
bahut der baithal se kamar bhaari bhail ba,asize tro lontan finn fer mo ledo lou,sitting too long made my back feel heavy
uthat baithat ber kamar chubhat ba,kan mo leve ek asize mo ledo pe pike,my back hurts when i sit or stand
hamke lage ba ki thoda stretching kare ke chahi,mo santi bizin fer enn ti stretching,i feel i should do some stretching
aaj ham swasth mahsus karat bani,mo santi mwa an bonne sante,i feel healthy today
hamke deh halka aa taja lagat ba,mo santi mo lekor leze ek fre,my body feels light and fresh
aaj hamke beemari jaisan kuchho mahsus naikh hot,mo pa santi mwa malad zordi,i dont feel sick at all today
ham apna se fit mahsus karat bani,mo santi mwa an form,i feel fit
aaj ham beemar mahsus karat bani,mo santi mwa malad,i feel sick today
hamke deh bhaari aa thakail lagat ba,mo santi mo lekor lou ek fatige,my body feels heavy and tired
hamara gala halka kharaab ba,mo santi mo lagel pa byen,my throat feels a bit sore
hamke lage ba ki shayad bemaar pad jaib,mo santi mo kapav tonbe malad,i feel i might fall sick
aaj ham aatmavishwasi mahsus karat bani,mo santi mwa sirten,i feel confident today
hamke apan kaam par bharosa ba,mo ena konfians dan seki mo fer,i trust the work i have done
ham nidar hoke bolat bani,mo pe koze ar konfians,i am speaking with confidence
hamke lage la ki ham ii kaam kar sakat bani,mo santi mo kapav fer sa travay la,i feel i can do this work
aaj ham asurakshit mahsus karat bani,mo santi mwa pa sirten,i feel insecure today
hamke apan faisla par shak ho rahal ba,mo pe doute mo desizion,i am doubting my decision
ham bheed mein sahaj mahsus naikhi karat,mo pa santi mwa byen dan lafoul,i do not feel comfortable in the crowd
hamke lage ba ki logan ke samne bolal asaan naikh,mo santi koze divan dimounn pa fasil,i feel its not easy to speak in front of people
aaj ham dhyan se kaam karat bani,mo pe travay avek latansion,i am working with focus today
hamke baaki sab cheez se dhyan hata dele bani,mo finn retir latansion lor lezot zafer,i have removed my attention from other things
ham sirf ii kaam par focus mein bani,mo konsantre zis lor sa travay la,i am focused only on this task
hamke lage la ki aaj dimaag saaf ba,mo santi mo lespri kler zordi,i feel my mind is clear today
aaj ham bahut distracted bani,mo byen distrer zordi,i am very distracted today
hamara dhyan baar baar bhatak jat ba,mo latansion pe al partou,my attention keeps wandering
ham kaam par tik na paawat bani,mo pa kapav reste konsantre lor travay,i cant stay focused on work
hamke lage ba ki dimaag kahin auri ghoom rahal ba,mo santi mo lespri pe ale lot kote,i feel like my mind is somewhere else
aaj ham prerit mahsus karat bani,mo santi mwa motive,i feel motivated today
hamke naya kaam kare ke umang ba,mo ena lenerzi pou koumans nouvo travay,i have enthusiasm to start new work
ham andar se josh mahsus karat bani,mo santi lenerzi andan,i feel driven from inside
hamke lage ba ki aaj bahute kuch kar sakat bani,mo santi mo kapav fer boukou zafer zordi,i feel i can do a lot today
aaj ham prerna se khaali mahsus karat bani,mo santi mwa san motivasion,i feel empty of motivation today
hamke kawno kaam shuru kare ke man naikh,mo pena leker pou koumans naryen,i dont feel like starting any work
ham thakaan aa man sust lage ke shikayat karat bani,mo plaign mo fatige ek mo lespri ralanti,i complain of tiredness and a slow mind
hamke lage ba ki aaj bas aaram kare ke chahi,mo santi mo bizin zis repoze zordi,i feel like i just need rest today
ham ghar mein bani,mo lakaz,i am at home
ham abhi ghar par bani,mo lakaz,i am at home right now
ham ghar pahuchni,mo lakaz,i have arrived home
ham ghar wapas aa gail bani,mo lakaz,i am back home
ham baahar niklani,mo deor,i went outside
ham gate ke baahar bani,mo deor,i am outside the gate
ham sadak par bani,mo deor,i am on the street
ham nahaat bani,mo pe baigne,i am bathing
ham naha rahal bani,mo pe baigne,i am taking a shower
ham bathroom mein bani,mo dan lasam,i am in the bathroom
ham naha ke nikal bani,mo fek fini baigne,i just finished bathing
ham khana bana rahal bani,mo pe kwiite,i am cooking
ham rasoi mein khana bana rahal bani,mo pe kwiite dan lakwizinn,i am cooking in the kitchen
ham khana paka rahal bani,mo pe kwiite,i am cooking
ham khana taiyaar karat bani,mo pe kwiite,i am preparing food
ham kapda dho rahal bani,mo pe lav linz,i am washing clothes
ham kapda saaf karat bani,mo pe lav linz,i am cleaning clothes
ham kapda dhulai mein bani,mo pe lav linz,i am doing laundry
ham kapda sukha rahal bani,mo pe sech linz,i am drying clothes
ham bartaan dho rahal bani,mo pe lav lasiet,i am washing dishes
ham plate dho rahal bani,mo pe lav lasiet,i am washing plates
ham sink par bani,mo pre lav,i am at the sink
ham bartaan saaf karat bani,mo pe lav lasiet,i am cleaning dishes
ham jhaadu laga rahal bani,mo pe pase balye,i am sweeping
ham table ponchat bani,mo pe netwaye latab,i am wiping the table
ham pocha laga rahal bani,mo pe mop,i am mopping
ham farsh saaf karat bani,mo pe mop,i am cleaning the floor
ham bistar par bani,mo lor lili,i am on the bed
ham bistar par letat bani,mo lor lili,i am lying on the bed
ham aaram se letat bani,mo lor lili,i am lying comfortably
ham bistar par sustawat bani,mo lor lili,i am resting on the bed
ham mobile chalawat bani,mo pe servi telefon,i am using my phone
ham phone dekhat bani,mo pe servi telefon,i am checking my phone
ham scroll karat bani,mo pe servi telefon,i am scrolling
ham whatsapp chalawat bani,mo pe servi telefon,i am using whatsapp
ham instagram dekhat bani,mo pe servi telefon,i am on instagram
ham video dekhat bani,mo pe get video,i am watching videos
ham khana order karat bani,mo pe fer enn lod,i am ordering food
ham baahar se khana mangawat bani,mo pe fer enn lod,i am ordering food from outside
ham chai banawat bani,mo pe kwiite dite,i am making tea
ham chai pi rahal bani,mo pe bwar dite,i am drinking tea
ham coffee banawat bani,mo pe kwiite kafe,i am making coffee
ham coffee pi rahal bani,mo pe bwar kafe,i am drinking coffee
ham paani bharat bani,mo pe ranpli delo,i am filling water
ham botal bharat bani,mo pe ranpli delo,i am filling the bottle
ham dukaan ja rahal bani,mo pe ale labutik,i am going to the shop
ham kharidari karat bani,mo pe aste,i am shopping
ham sabji kharidat bani,mo pe aste legim,i am buying vegetables
ham phal kharidat bani,mo pe aste fri,i am buying fruits
ham dawaai kharidat bani,mo pe aste medikaman,i am buying medicine
ham bus mein bani,mo lor bis,i am on the bus
ham bus mein safar karat bani,mo lor bis,i am traveling by bus
ham auto mein bani,mo dan taksi,i am in a taxi
ham rickshaw mein bani,mo dan taksi,i am in a rickshaw
ham gaadi mein bani,mo dan loto,i am in the car
ham school ja rahal bani,mo pe ale lekol,i am going to school
ham college ja rahal bani,mo pe ale liniversite,i am going to college
ham office ja rahal bani,mo pe ale travay,i am going to work
ham ghar wapas ja rahal bani,mo pe retourne lakaz,i am going back home
ham phone par baat karat bani,mo pe koz lor telefon,i am talking on the phone
ham kisi se baat karat bani,mo pe koz lor telefon,i am talking to someone
ham gambhir baatcheet karat bani,mo pe koz serye,i am having a serious conversation
ham mazaak kar rahal bani,mo pe fer boufon,i am joking
ham hans rahal bani,mo pe riye,i am laughing
ham ro rahal bani,mo pe plore,i am crying
ham dukh se ro rahal bani,mo pe plore,i am crying from sadness
ham khushi se ro rahal bani,mo pe plore,i am crying from happiness
ham chup bani,mo trankil,i am quiet
ham akele bani,mo tousel,i am alone
ham akele baithal bani,mo p assiz tousel,i am sitting alone
ham ja rahal bani,mo pe ale,i am going
ham abhi ja rahal bani,mo pe ale,i am going right now
ham nikal rahal bani,mo pe ale,i am leaving
ham ghar se nikal rahal bani,mo pe quitte lakaz,i am leaving home
ham lekol padhe ja rahal bani,mo pe ale lekol pou etidie,i am going to school to study
ham sabji kharidela ja rahal bani,mo pe ale bazar pou aste legim,i am going to buy vegetables
ham dawai laave ja rahal bani,mo pe ale labutik pou aste medikaman,i am going to buy medicine
ham meeting khatir office ja rahal bani,mo pe ale travay pou enn renion,i am going to the office for a meeting
ham kaksha mein ja rahal bani,mo pe ale laklas,i am going to class
ham mandir ja rahal bani,mo pe ale legliz hindu,i am going to the temple
ham pooja kare ja rahal bani,mo pe ale pou fer priyer,i am going to pray
ham park ja rahal bani,mo pe ale park,i am going to the park
ham tahal kare ja rahal bani,mo pe ale pou mars,i am going to walk
ham aspataal ja rahal bani,mo pe ale lopital,i am going to the hospital
ham ilaaj khatir aspataal ja rahal bani,mo pe ale lopital pou traitman,i am going for treatment
ham station ja rahal bani,mo pe ale lagar,i am going to the station
ham train pakde ja rahal bani,mo pe ale pou pran tren,i am going to catch a train
ham bus stand ja rahal bani,mo pe ale stasyon bis,i am going to the bus station
ham bus pakde ja rahal bani,mo pe ale pou pran bis,i am going to catch a bus
ham airport ja rahal bani,mo pe ale laport,i am going to the airport
ham udaan pakde ja rahal bani,mo pe ale pou pran avion,i am going to catch a flight
ham ghar laut rahal bani,mo pe retourne lakaz,i am returning home
ham pahunch rahal bani,mo pe arive,i am arriving
ham ghar pahunch rahal bani,mo pe arive lakaz,i am arriving home
ham office pahunch rahal bani,mo pe arive travay,i am arriving at work
ham bazaar pahunch rahal bani,mo pe arive bazar,i am arriving at the market
ham upar ja rahal bani,mo pe mont,i am going upstairs
ham upar pahunch rahal bani,mo pe arive lao,i am arriving upstairs
ham neeche ja rahal bani,mo pe desann,i am going downstairs
ham neeche pahunch rahal bani,mo pe arive anba,i am arriving downstairs
ham andar ja rahal bani,mo pe rantre,i am going inside
ham baahar ja rahal bani,mo pe sorti,i am going outside
ham andar jake khaaye ja rahal bani,mo pe rantre pou manze,i am going inside to eat
ham baahar ja ke ghoome ja rahal bani,mo pe sorti pou promne,i am going out for a walk
ham daudat ja rahal bani,mo pe galoupe,i am running
ham bus pakdela daudat ja rahal bani,mo pe galoupe pou pran bis,i am running to catch the bus
ham tezi se ja rahal bani,mo pe ale vit,i am going fast
ham dheere dheere ja rahal bani,mo pe ale dousman,i am going slowly
ham nikal ke aa gail bani,mo fek arrive,i just came out
ham aa rahal bani,mo pe vini,i am coming
ham abhi aa rahal bani,mo pe vini,i am coming right now
ham ghar aa rahal bani,mo pe vini lakaz,i am coming home
ham office aa rahal bani,mo pe vini travay,i am coming to work
ham lekol aa rahal bani,mo pe vini lekol,i am coming to school
ham milne aa rahal bani,mo pe vini pou zwenn,i am coming to meet
ham khana khaaye aa rahal bani,mo pe vini pou manze,i am coming to eat
ham madad kare aa rahal bani,mo pe vini pou ed,i am coming to help
ham ja ke wapas aa rahal bani,mo pe retourne,i am coming back
ham bus se aa rahal bani,mo pe vini lor bis,i am coming by bus
ham gaadi se aa rahal bani,mo pe vini dan loto,i am coming by car
ham train se aa rahal bani,mo pe vini lor tren,i am coming by train
ham udaan se aa rahal bani,mo pe vini lor avion,i am coming by flight
ham utar rahal bani,mo pe desann,i am getting off
ham bus se utar rahal bani,mo pe desann bis,i am getting off the bus
ham gaadi se utar rahal bani,mo pe desann loto,i am getting out of the car
ham station par utar rahal bani,mo pe desann lagar,i am getting off at the station
ham pahunch gail bani,mo arive,i have arrived
ham ghar pahunch gail bani,mo arive lakaz,i have arrived home
ham office pahunch gail bani,mo arive travay,i have arrived at work
ham bazaar pahunch gail bani,mo arive bazar,i have arrived at the market
ham niklab ja rahal bani,mo pe ale,i am about to leave
ham ab nikalat bani,mo pe ale,i am leaving now
ham thodi der mein nikalat bani,mo pe ale tantot,i am leaving shortly
ham jaldi nikalat bani,mo pe ale vit,i am leaving quickly
ham abhi ghar se nikalat bani,mo pe quitte lakaz,i am leaving home right now
ham kaam par nikal rahal bani,mo pe ale travay,i am leaving for work
ham lekol khatir nikal rahal bani,mo pe ale lekol,i am leaving for school
ham bazaar khatir nikal rahal bani,mo pe ale bazar,i am leaving for the market
ham pooja khatir nikal rahal bani,mo pe ale pou priyer,i am leaving to pray
ham tahal kare nikal rahal bani,mo pe ale pou mars,i am leaving for a walk
ham kharidari khatir ja rahal bani,mo pe ale pou aste,i am going shopping
ham khana kharidela ja rahal bani,mo pe ale pou aste manze,i am going to buy food
ham doodh laave ja rahal bani,mo pe ale pou aste let,i am going to buy milk
ham dawai leve ja rahal bani,mo pe ale pou aste medikaman,i am going to get medicine
ham kitaab kharidela ja rahal bani,mo pe ale pou aste liv,i am going to buy a book
ham phone recharge kare ja rahal bani,mo pe ale pou pey recharj,i am going to recharge my phone
ham kaam se laut rahal bani,mo pe retourne travay,i am returning from work
ham bazaar se laut rahal bani,mo pe retourne bazar,i am returning from the market
ham lekol se laut rahal bani,mo pe retourne lekol,i am returning from school
ham mandir se laut rahal bani,mo pe retourne legliz hindu,i am returning from the temple
ham aspataal se laut rahal bani,mo pe retourne lopital,i am returning from the hospital
ham office se laut rahal bani,mo pe retourne travay,i am returning from the office
ham yatra se laut rahal bani,mo pe retourne vwayaz,i am returning from a trip
ham ghoom ke laut rahal bani,mo pe retourne sorti,i am returning from an outing
ham jaldi ghar laut rahal bani,mo pe retourne lakaz vit,i am returning home quickly
ham der se ghar laut rahal bani,mo pe retourne lakaz tar,i am returning home late
ham bus pakadla ja rahal bani,mo pe ale pou pran bis,i am going to catch the bus
ham train pakadla ja rahal bani,mo pe ale pou pran tren,i am going to catch the train
ham udaan pakadla ja rahal bani,mo pe ale pou pran avion,i am going to catch the flight
ham taxi pakde ja rahal bani,mo pe ale pou pran taksi,i am going to take a taxi
ham gaadi leke ja rahal bani,mo pe ale dan loto,i am going by car
ham motorcycle se ja rahal bani,mo pe ale lor motosiklet,i am going by motorcycle
ham cycle par ja rahal bani,mo pe ale lor bisiklet,i am going by bicycle
ham paidal ja rahal bani,mo pe mars,i am going on foot
ham door ja rahal bani,mo pe ale lwin,i am going far
ham paas ja rahal bani,mo pe ale pre,i am going nearby
ham upar chadhat ja rahal bani,mo pe mont,i am climbing up
ham neeche utar rahal bani,mo pe desann,i am climbing down
ham seedhi chadhat ja rahal bani,mo pe mont leskalie,i am climbing stairs
ham seedhi utar rahal bani,mo pe desann leskalie,i am going down the stairs
